掌权人,排名,排名变化,财富值_人民币_亿,财富值_美元,财富值变化,人物关系,公司名称_中文,公司名称_英文,公司总部地_中文,公司总部地_英文,所在行业_中文,所在行业_英文,性别,年龄,出生地_中文,籍贯_中文,常住地_中文,学历_中文,毕业院校_中文,毕业院校_英文,专业_中文,专业_英文
张一鸣,1,4,3500.0,49300.0,43%,未知,字节跳动,ByteDance,北京,Beijing,社交媒体,Social Media,先生,41,中国-福建-龙岩,,中国-北京,本科,南开,南开大学,,
钟睒睒,2,-1,3400.0,47900.0,-24%,未知,养生堂,YST,浙江杭州,Zhejiang,饮料、医疗保健,"Drinks, Pharmaceuticals",先生,70,中国-浙江-绍兴,,中国-浙江-杭州,,,,,
马化腾,3,-1,3150.0,44400.0,13%,未知,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,先生,53,中国-海南,中国-广东-汕头,中国-广东-深圳,本科,深圳大学,深圳大学计算机与软件学院,Shenzhen University,冶金系金相专业
黄峥,4,-1,2450.0,34500.0,-9%,未知,拼多多,Pinduoduo,上海长宁,Shanghai,购物网站,E-Commerce,先生,44,中国-浙江-杭州,中国-浙江-杭州,中国-上海,硕士,浙大、威斯康星大学,威斯康星大学麦迪逊分校,,
何享健,5,3,2350.0,33100.0,18%,家族,美的,Midea,广东佛山,Guangdong,家电制造,Household Appliances,先生,82,中国-广东-佛山,中国-广东-佛山,中国-广东-佛山,,,,,
曾毓群,6,-2,2000.0,28200.0,-20%,未知,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,先生,56,中国-福建-宁德,,中国-福建-宁德,博士,上交大、中科院,,,
丁磊,6,0,2000.0,28200.0,-17%,未知,网易,Netease,浙江杭州,Zhejiang,互联网技术,Internet Services,先生,53,中国-浙江-宁波,中国-浙江-宁波,中国-浙江-杭州,本科,电子科技,电子科技大学,,
李嘉诚、李泽钜,6,1,2000.0,28200.0,-5%,父子,长江实业,Cheung Kong,香港,Hong Kong,投资,Investments,先生,96,中国-香港,中国-广东-潮州,中国-香港,,,,,
李兆基,9,2,1750.0,24600.0,9%,家族,恒基兆业,Henderson Land,香港,Hong Kong,房地产,Estate Holding,先生,96,中国-广东-佛山,中国-广东-佛山,中国-香港,,,,,
马云,10,0,1650.0,23200.0,-3%,家族,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",先生,60,中国-浙江-杭州,中国-浙江-绍兴,中国-浙江-杭州,本科,杭州师范学院,杭州师范学院,Hangzhou Normal University,英语专业
李书福,11,-2,1450.0,20400.0,-17%,家族,吉利,Geely,浙江杭州,Zhejiang,汽车制造,Car Manufacturing,先生,61,中国-浙江-台州,中国-浙江-台州,中国-浙江-杭州,博士,哈工大、燕山、哈工大,哈尔滨工业大学,,
严昊,11,1,1450.0,20400.0,-3%,未知,太平洋建设,China Pacific Construction,新疆乌鲁木齐,Xinjiang,基础建设,Roads,先生,38,中国-江苏-淮安,中国-江苏-淮安,中国-江苏-南京,本科,南京师范大学,,,
张刚,11,5,1450.0,20400.0,7%,家族,信发铝电,Xinfalyudian,山东聊城,Shandong,电解铝、氧化铝,Aluminum,先生,43,中国-山东-聊城,中国-山东-聊城,中国-山东-聊城,硕士,西北工业、澳大利亚中央昆士兰大学,,,
李蔡美灵,14,0,1400.0,19700.0,0%,家族,李锦记,Lee Kun Kee,香港,Hong Kong,调味品,Food Processing,先生,未知,中国-香港,中国-香港,中国-香港,,,,,
吕向阳、张长虹,14,0,1400.0,19700.0,0%,夫妇,融捷,Youngy,广东广州,Guangdong,投资,Investments,先生,61,中国-安徽-芜湖,中国-安徽-芜湖,中国-广东-广州,,,,,
秦英林、钱瑛,16,-3,1350.0,19000.0,-7%,夫妇,牧原,Muyuan,河南南阳,Henan,畜牧,Pig Farming,先生,59,中国-河南-南阳,中国-河南-南阳,中国-河南-南阳,本科,河南农业大学,河南农业大学,,
王传福,16,0,1350.0,19000.0,0%,未知,比亚迪,BYD,广东深圳,Guangdong,汽车、充电电池,"Automobile, New Energy",先生,58,中国-安徽-芜湖,中国-安徽-芜湖,中国-广东-深圳,本科,中南,中南大学,,
赵长鹏,16,81,1350.0,19000.0,200%,未知,币安,Binance,美国,USA,虚拟货币交易所,Blockchain,先生,47,中国-江苏-连云港,,阿联酋迪拜,本科,麦吉尔大学,,,
雷军,19,15,1300.0,18300.0,38%,未知,小米,Xiaomi,北京,Beijing,智能硬件与技术、投资,"IoT, Investments",先生,55,中国-湖北-仙桃,中国-湖北-仙桃,中国-北京,本科,武大,武汉大学,,
陈建华、范红卫,20,0,1250.0,17600.0,0%,夫妇,恒力,Hengli,江苏苏州,Jiangsu,化纤、石化、房地产,"Textiles, Chemical Fiber, Real Estate",先生,53,中国-江苏-苏州,中国-江苏-苏州,中国-江苏-苏州,硕士,南京师范,,,
张志东,20,6,1250.0,17600.0,14%,未知,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,先生,52,中国-广东-东莞,中国-广东-东莞,中国-广东-深圳,硕士,深圳、华南理工,华南理工大学,,
刘永行、刘相宇,22,-4,1200.0,16900.0,-8%,父子,东方希望,East Hope,上海浦东,Shanghai,氧化铝、重化工、饲料,"Aluminium, Feed",先生,76,中国-四川-成都,,中国-上海,博士,西华、恒生国际、美国波士顿,西华大学,,
王卫,23,-3,1100.0,15500.0,-12%,未知,顺丰,SF,广东深圳,Guangdong,快递,Express Delivery,先生,54,中国-上海,中国-广东-河源,中国-香港,,,,,
魏建军、韩雪娟,23,1,1100.0,15500.0,-8%,夫妇,长城,Great Wall Motor,河北保定,Hebei,汽车制造,Automobile,先生,60,中国-河北-保定,中国-河北-保定,中国-河北-保定,,,,,
郑淑良,23,15,1100.0,15500.0,31%,家族,魏桥创业,Weiqiao Pioneering,山东滨州,Shandong,铝业、纺织,"Aluminum, Textiles",先生,78,中国-山东,中国-山东-滨州,中国-山东-滨州,,,,,
李西廷,26,1,1000.0,14100.0,0%,未知,迈瑞,Mindray,广东深圳,Guangdong,医疗器械,Pharmaceuticals,先生,73,中国-安徽-宿州,中国-安徽-宿州,新加坡,本科,中科大,中国科技大学,,
党彦宝,27,4,950.0,13400.0,0%,未知,宝丰,Baofeng Energy,宁夏银川,Ningxia,煤化工,Coal Chemical,先生,51,,,中国-宁夏-吴忠,本科,宁夏,,,
徐航,27,0,950.0,13400.0,-5%,未知,迈瑞、鹏瑞,"Mindray, Parkland",广东深圳,Guangdong,医疗器械、房地产,"Health Tech, Real Estate",先生,62,中国-广东-广州,中国-广东,中国-广东-深圳,本科,清华,清华大学,,
郑家纯,27,-9,950.0,13400.0,-27%,家族,周大福,Chow Tai Fook,香港,Hong Kong,珠宝,Jewellery,先生,76,中国-香港,中国-香港,中国-香港,,,,,
郭台铭,30,36,930.0,13100.0,55%,未知,鸿海,Hon Hai,台湾台北,Taiwan,电子制造,Manufacturing,先生,74,中国-台湾-新北,中国-山西-晋城,中国-台湾-台北,,,,,
吴光正,30,-3,930.0,13100.0,-7%,家族,会德丰,Wheelock,香港,Hong Kong,房地产,Estate Holding,先生,78,中国-上海,中国-浙江-宁波,中国-香港,,,,,
刘銮雄,32,3,910.0,12800.0,-1%,家族,华人置业,Chinese Estates,香港,Hong Kong,房地产,Estate Holding,先生,73,中国-香港,中国-香港,中国-香港,,,,,
黄世霖,33,-8,890.0,12500.0,-23%,未知,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,先生,57,中国-福建-宁德,,中国-福建-宁德,本科,合肥工业大学,,,
王兴,34,-14,885.0,12500.0,-29%,未知,美团,Meituan,北京,Beijing,生活服务,Life Service,先生,45,中国-福建-龙岩,中国-福建,中国-北京,本科,清华,清华大学,,
庞康,35,5,870.0,12300.0,9%,未知,海天味业,Haitian,广东佛山,Guangdong,调味品,Food Flavorings,先生,68,中国-广东-佛山,,中国-广东-佛山,本科,,,,
杜纪川,36,4,850.0,12000.0,6%,未知,金士顿科技,Kingston Technology,美国洛杉矶,Los Angeles,半导体,Semiconductors,先生,83,中国-重庆,中国-浙江-丽水,美国-洛杉矶,,,,,
孙大卫,36,4,850.0,12000.0,6%,未知,金士顿科技,Kingston Technology,美国洛杉矶,Los Angeles,半导体,Semiconductors,先生,73,中国-台湾-台北,,美国-洛杉矶,,,,,
林立,38,-2,810.0,11400.0,-10%,未知,立业,Liye,广东深圳,Guangdong,投资,Investments,先生,61,中国-广东-河源,中国-广东-河源,中国-广东-深圳,硕士,湖北工,湖北工业大学,,
宗馥莉,38,-7,810.0,11400.0,-15%,未知,娃哈哈,Wahaha,浙江杭州,Zhejiang,饮料,Drinks,女士,未知,,,中国-浙江-杭州,,,,,
吕志和,40,-20,800.0,11300.0,-36%,家族,银河,Galaxy Entertainment,香港,Hong Kong,博彩,Gaming,先生,95,中国-香港,中国-广东-江门,中国-香港,,,,,
严彬,40,-13,800.0,11300.0,-20%,未知,华彬,Reignwood,北京,Beijing,饮料、地产,Food & Beverages,先生,70,中国-河南-新乡,中国-山东-莱州,中国-北京,,,,,
钟慧娟,42,69,770.0,10800.0,83%,未知,翰森,Hansoh,江苏连云港,Jiangsu,医药,Pharmaceuticals,女士,63,,,中国-上海,,,,,
李泽楷,43,1,750.0,10600.0,-3%,未知,电讯盈科,PCCW,香港,Hong Kong,电信,Telecommunications,先生,58,中国-香港,中国-广东-潮州,中国-香港,,,,,
蔡浩宇,44,11,730.0,10300.0,9%,未知,米哈游,Mihoyo,上海,Shanghai,游戏,Online games,先生,37,中国-山东-济南,中国-山东-济南,中国-上海,,,,,
张聪渊,45,26,720.0,10100.0,24%,家族,华利实业,Huali Industrial,广东中山,Guangdong,鞋业,Footwear,先生,76,中国-台湾-桃园,,中国-广东-中山,,,,,
刘汉元、管亚梅,46,-15,700.0,9860.0,-26%,夫妇,通威,Tongwei,四川成都,Sichuan,新能源、农业,"New Energy, Agriculture",先生,60,中国-四川-眉山,中国-四川-成都,中国-四川-成都,,,北大光华管理学院,,
林百里,47,12,695.0,9790.0,10%,家族,广达电脑,Quanta Computer,台湾桃园,Taiwan,消费电子产品,Consumer and Industry Electronics,先生,75,中国-上海,,中国-台湾-桃园,,,,,
刘永好,48,-11,690.0,9720.0,-20%,家族,新希望,New Hope,四川成都,Sichuan,农业、化工、金融,"Agriculture, Finance",先生,73,中国-四川-成都,中国-四川-成都,中国-四川-成都,,,四川工程职业技术学院,,
蔡崇信,49,37,680.0,9580.0,42%,未知,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",先生,60,中国-台湾,,中国-香港,,,,,
陈东升,50,0,670.0,9440.0,-4%,家族,泰康,Taikang,北京,Beijing,保险,Insurance,先生,67,中国-湖北-荆门,中国-湖北-天门,中国-北京,博士,武大、武大,武汉大学,,
项光达,50,94,670.0,9440.0,97%,未知,青山控股,Tsingshan,浙江温州,Zhejiang,钢铁,Steel,先生,66,中国-浙江-温州,,中国-浙江-温州,,,,,
于泳,50,9,670.0,9440.0,6%,未知,鸿商产业,Cathay Fortune,上海浦东,Shanghai,钼矿,Molybdenum Minerals,先生,未知,,,中国-上海,,,,,
张国华,50,35,670.0,9440.0,38%,家族,长荣集团,Evergreen,台湾台北,Taiwan,物流、钢铁,"Logistics,Iron",先生,69,中国-台湾-台北,中国-台湾-台北,中国-台湾-台北,,,,,
邝肖卿,54,-8,665.0,9370.0,-8%,未知,新鸿基,Sun Hung Kai,香港,Hong Kong,房地产,Estate Holding,女士,95,中国-香港,中国-广东-广州,中国-香港,,,,,
孙飘扬,55,9,650.0,9150.0,7%,未知,恒瑞,Hengrui,江苏连云港,Jiangsu,医药,Pharmaceuticals,先生,66,中国-江苏-镇江,中国-江苏-镇江,中国-上海,硕士,中国药科、南大,南京大学,,
周群飞、郑俊龙,56,36,635.0,8940.0,40%,夫妇,蓝思科技,Lens,湖南长沙,Hunan,电子器件制造,Manufacturing,女士,54,中国-湖南-湘潭,中国-湖南-长沙,中国-湖南-长沙,,,,,
王来胜、王雅媛,57,19,630.0,8870.0,17%,父女,立讯精密,Luxshare Precision,广东深圳,Guangdong,消费电子,Consumer Electronics,先生,60,中国-广东-汕头,,中国-广东-深圳,,,,,
徐浩宇,57,9,630.0,8870.0,5%,家族,扬子江药业,Yangtze River Pharmacy,江苏泰州,Jiangsu,医药,Pharmaceuticals,先生,52,中国-江苏-泰州,中国-江苏-泰州,中国-江苏-泰州,,,,,
王来春,59,18,620.0,8730.0,17%,未知,立讯精密,Luxshare Precision,广东深圳,Guangdong,消费电子,Consumer Electronics,女士,57,中国-广东-汕头,,中国-广东-深圳,,,清华大学深圳研究生院,,
朱保国,59,-1,620.0,8730.0,-3%,家族,健康元,Joint Care,广东深圳,Guangdong,医药,Pharmaceuticals,先生,62,中国-河南-新乡,,中国-广东-深圳,硕士,河南师范、中央党校,河南师范大学,,
龚虹嘉、陈春梅,61,-14,615.0,8660.0,-13%,夫妇,海康威视,Hikvision,浙江杭州,Zhejiang,视频监控产品,Video Surveillance Products,先生,59,,,中国-香港,本科,华中科技,华中科技大学,,
岑均达,62,17,610.0,8590.0,22%,未知,恒瑞、翰森,"Hengrui, Hansoh",江苏连云港,Jiangsu,医药,Pharmaceuticals,先生,未知,,,中国-江苏-连云港,,,,,
梁稳根、梁在中,63,-16,600.0,8450.0,-15%,父子,三一,Sany,北京,Beijing,重型机械,Heavy Machinery,先生,68,中国-湖南-娄底,中国-湖南-娄底,中国-湖南-长沙,本科,中南,中南大学,,
王玉锁、赵宝菊,63,12,600.0,8450.0,9%,夫妇,新奥,ENN,河北廊坊,Hebei,天然气、能源化工,"Gas, Energy",先生,60,中国-河北-廊坊,中国-河北-廊坊,中国-河北-廊坊,硕士,人大、天津财经,天津财经大学,,
陈天桥、雒芊芊,65,12,590.0,8310.0,11%,夫妇,盛大,Shanda,上海浦东,Shanghai,投资,Investments,先生,51,中国-浙江-绍兴,中国-浙江-绍兴,新加坡,本科,复旦,复旦大学,,
汪俊林,65,-18,590.0,8310.0,-17%,未知,郎酒,Langjiu,四川成都,Sichuan,白酒,Liquor,先生,62,中国-四川-眉山,中国-四川-眉山,中国-四川-成都,本科,泸州医,泸州医学院（西南医科大学）,,
杜双华,67,6,575.0,8100.0,1%,未知,日照钢铁,Rizhao Iron and Steel,山东日照,Shandong,钢铁,Steel,先生,59,中国-河北-衡水,中国-河北-衡水,中国-山东-日照,,,,,
陈丽华,68,3,550.0,7750.0,-5%,未知,富华,Fu Wah,北京,Beijing,房地产、紫檀博物馆,"Real Estate, Red Sandalwood Museum",女士,83,中国-北京,中国-北京,中国-北京,博士,美国佐治亚州萨凡那艺术设计学院荣誉博士,美国佐治亚州萨凡那艺术设计学院,,
李水荣,68,-15,550.0,7750.0,-19%,未知,荣盛控股,RongSheng,浙江杭州,Zhejiang,化纤,Chemical Fibres,先生,68,中国-浙江,,中国-浙江-杭州,,,,,
张勇、舒萍,70,-25,540.0,7610.0,-28%,夫妇,海底捞,HaiDiLao,北京,Beijing,餐饮,Restaurants,先生,53,中国-四川-成都,,新加坡,,,,,
李彦宏、马东敏,71,-32,525.0,7390.0,-36%,夫妇,百度,Baidu,北京,Beijing,网络信息服务,Internet Information Services,先生,56,中国-山西-阳泉,中国-河北-邢台,中国-北京,硕士,北大、布法罗纽约州立,布法罗纽约州立大学,,
曹仁贤、苏蕾,72,14,520.0,7320.0,8%,夫妇,阳光电源,Sungrow Power Supply,安徽合肥,Anhui,光伏设备,Electric Equipment and Machinery,先生,56,中国-浙江-杭州,,中国-安徽-合肥,硕士,,,,
刘强东、章泽天,72,-6,520.0,7320.0,-13%,夫妇,京东,JD,北京,Beijing,电子商务、金融,"E-Commerce, Financial Services",先生,50,中国-江苏-宿迁,中国-江苏-宿迁,中国-北京,本科,人大,中国人民大学,,
林木勤、林煜鹏,74,34,510.0,7180.0,17%,父子,东鹏饮料,Eastroc Beverage,广东深圳,Guangdong,食品饮料,Food & Beverages,先生,60,中国-广东-深圳,,中国-广东-深圳,,,,,
朱义,74,114,510.0,7180.0,89%,未知,百利天恒,Biokin Pharmaceutical,四川成都,Sichuan,医药,Pharmaceuticals,先生,61,,,中国-成都,,,,,
汪立平,76,-12,500.0,7040.0,-18%,家族,恒立液压,Hengli Hydraulic,江苏常州,Jiangsu,高压油缸,Oil Cylinder,先生,58,中国-江苏-无锡,中国-江苏-无锡,中国-江苏-常州,,,,,
许仰天,76,3,500.0,7040.0,0%,未知,希音,Shein,广东广州,Guangdong,电商,E-Commerce,先生,40,山东-淄博,山东-淄博,中国-广东-广州,,青岛科技大学-本科,,,
严昕,76,13,500.0,7040.0,6%,未知,苏商,Susun,上海,Shanghai,基础设施建设,Roads,女士,41,中国-江苏-淮安,,中国-江苏-淮安,,,,,
林斌,79,61,490.0,6900.0,42%,未知,小米,Xiaomi,北京,Beijing,智能硬件与技术,IoT,先生,56,,,中国-北京,硕士,中山大学、Drexel Universit,美国费城Drexel大学,,
罗立国,79,-13,490.0,6900.0,-18%,家族,合盛,Hoshine,浙江宁波,Zhejiang,硅材料,Silicon,先生,68,中国-浙江-宁波,,中国-浙江-宁波,,,,,
吴亚军,79,-22,490.0,6900.0,-26%,家族,龙湖,Longfor,北京,Beijing,房地产,Real Estate,女士,60,中国-重庆,中国-重庆,中国-北京,本科,西北工业,西北工业大学,,
裴振华、容建芬,82,-19,480.0,6760.0,-23%,夫妇,天华超净,Canmax,江苏苏州,Jiangsu,超净产品,Industrial Products,先生,未知,,,中国-江苏-苏州,,,,,
许世辉,82,9,480.0,6760.0,4%,家族,达利食品,Dali Foods,福建泉州,Fujian,食品,Food,先生,67,中国-福建-泉州,,中国-福建-泉州,,,,,
蔡明兴,84,56,460.0,6480.0,33%,家族,富邦,Fubon,台湾台北,Taiwan,金融服务,Financial Services,先生,67,中国-台湾,中国-福建-泉州,中国-台湾-台北,,,,,
陈邦,84,-44,460.0,6480.0,-43%,未知,爱尔眼科,Aier Ophthalmology,湖南长沙,Hunan,医疗服务,Medical Services,先生,59,中国-湖南-长沙,中国-湖南-长沙,中国-湖南-长沙,硕士,,,,
黄楚龙,86,-2,450.0,6340.0,-8%,家族,星河,Galaxy,广东深圳,Guangdong,房地产、投资,"Real Estate, Investments",先生,65,中国-广东-揭阳,中国-广东-揭阳,中国-广东-深圳,,,,,
李华,86,-31,450.0,6340.0,-33%,未知,卓越,Excellence,广东深圳,Guangdong,房地产,Real Estate,先生,58,中国-四川,,中国-广东-深圳,本科,华南理工,华南理工大学,,
蔡明忠,88,67,440.0,6200.0,38%,家族,富邦,Fubon,台湾台北,Taiwan,金融服务,Financial Services,先生,68,中国-台湾,中国-福建-泉州,中国-台湾-台北,,,,,
谢青,88,42,440.0,6200.0,24%,未知,飞塔,Fortinet,美国旧金山,San Francisco,网路安全,Network Security,先生,未知,中国-北京,,美国-旧金山,硕士,斯坦福大学,,Stanford University,电机工程
李天颖,90,2,435.0,6130.0,-4%,家族,新鸿基,Sun Hung Kai,香港,Hong Kong,房地产,Estate Holding,先生,未知,中国-香港,中国-香港,中国-香港,,,,,
米高·嘉道理,90,23,435.0,6130.0,6%,家族,中电,CLP,香港,Hong Kong,能源,Energy,先生,83,中国-香港,,中国-香港,,,,,
陈贤哲,92,5,430.0,6060.0,-4%,家族,北极星,Polaris,台湾台北,Taiwan,投资,Investments,先生,71,中国-台湾,,中国-台湾-台北,,,,,
张虔生,92,38,430.0,6060.0,21%,家族,日月光,ASE,台湾高雄,Taiwan,工业品、房地产,"Industrial Products, Real Estate",先生,80,中国-台湾,中国-浙江-温州,中国-台湾-高雄,,,,,
虞仁荣,94,8,425.0,5990.0,-4%,未知,韦尔股份,Will,上海浦东,Shanghai,半导体,Semiconductors,先生,58,,,中国-上海,本科,清华,,,
蔡宏图,95,55,420.0,5920.0,29%,家族,霖园,Lin Yuan,台湾台北,Taiwan,金融服务,Financial Services,先生,72,中国-台湾,中国-福建-泉州,中国-台湾-台北,,,,,
杨惠妍,95,-9,420.0,5920.0,-13%,家族,碧桂园,Country Garden,广东佛山,Guangdong,投资、房地产、教育,"Investments, Real Estate, Education",女士,43,中国-广东-佛山,中国-广东-佛山,中国-广东-佛山,本科,俄亥俄州立,俄亥俄州立大学,,
沈国军,97,-38,415.0,5850.0,-34%,家族,银泰,Yintai,北京,Beijing,零售、房地产、物流,"Retail, Real Estate, Logistics",先生,62,中国-浙江-宁波,中国-浙江-宁波,中国-北京,硕士,中南财经,中南财经大学,,
宋建波,97,26,415.0,5850.0,11%,家族,南山,Nanshan,山东烟台,Shandong,铝业、纺织、房地产,"Aluminium, Apparel, Real Estate",先生,54,中国-山东-烟台,中国-山东-烟台,中国-山东-烟台,,,,,
霍斯特·帕德威尔,99,66,410.0,5770.0,34%,家族,创科实业,TTI,香港,Hong Kong,消费品,Consumer Goods,先生,79,中国-香港,,中国-香港,,,,,
鲁伟鼎,99,6,410.0,5770.0,-7%,家族,万向,Wanxiang,浙江杭州,Zhejiang,汽车制造业、房地产、农业,"Car parts, real estate, agriculture",先生,53,中国-浙江-杭州,,中国-浙江-杭州,,,,,
其实,99,-33,410.0,5770.0,-32%,家族,东方财富,Eastmoney,上海徐汇,Shanghai,信息服务,Data Services,先生,54,中国-上海,中国-上海,中国-上海,博士,上交大、复旦,复旦大学,,
阮立平,99,6,410.0,5770.0,-7%,未知,公牛,Gong Niu Group,浙江宁波,Zhejiang,插座,Power Strip,先生,60,,,中国-宁波,,,,,
方威,103,-44,405.0,5700.0,-36%,未知,方大,Fangda,北京,Beijing,碳素、钢铁、煤焦,"Carbon, Steel, Coal",先生,51,中国-辽宁-沈阳,中国-辽宁-沈阳,中国-北京,,,,,
蒋仁生,103,-50,405.0,5700.0,-40%,家族,智飞生物,Zhifei,重庆,Chongqing,疫苗,Vaccines,先生,71,中国-广西-桂林,中国-广西-桂林,中国-重庆,,,桂林医学院,,
阮学平,103,2,405.0,5700.0,-8%,未知,公牛,Gong Niu Group,浙江宁波,Zhejiang,插座,Power Strip,先生,52,,,中国-宁波,,,,,
朱孟依,103,-11,405.0,5700.0,-11%,家族,合生创展,Hopson,广东广州,Guangdong,房地产、投资,Real Estate,先生,65,中国-广东-梅州,中国-广东-梅州,中国-广东-广州,,,,,
蔡衍明,107,2,400.0,5630.0,-7%,家族,旺旺,Want Want,台湾台北,Taiwan,食品和饮料,Food & Beverages,先生,67,中国-台湾-台北,中国-福建-泉州,中国-台湾-台北,,,,,
丁世忠,107,-5,400.0,5630.0,-10%,未知,安踏,Anta,福建厦门,Fujian,体育用品,Sportswear,先生,54,中国-福建-泉州,,中国-福建-厦门,,,,,
赖海民,107,-28,400.0,5630.0,-20%,未知,鸿荣源,Horoy,广东深圳,Guangdong,房地产,Real Estate,先生,58,中国-广东-揭阳,中国-广东-揭阳,中国-广东-深圳,,,,,
刘伟,107,19,400.0,5630.0,8%,未知,米哈游,Mihoyo,上海,Shanghai,游戏,Online games,先生,37,,,中国-上海,,,,,
苏海文,107,11,400.0,5630.0,4%,家族,BW,BW Group,香港,Hong Kong,物流,Logistics,先生,83,奥地利,,中国-香港,,,,,
王旭宁,112,201,395.0,5560.0,126%,未知,JS环球生活,JS Global Life,香港,Hong Kong,小家电,Household Appliances,先生,55,中国-北京,中国-北京,中国-上海,硕士,北交大、中欧,,,
谢华,113,46,390.0,5490.0,24%,未知,飞塔,Fortinet,美国旧金山,San Francisco,网路安全,Network Security,先生,未知,中国-北京,,美国-旧金山,硕士,曼尼托巴大学,,Manitoba University,电机工程
蔡政达,114,53,385.0,5420.0,28%,家族,霖园,Lin Yuan,台湾台北,Taiwan,金融服务,Financial Services,先生,未知,中国-台湾,中国-福建-泉州,中国-台湾-台北,,,,,
李平,114,-35,385.0,5420.0,-23%,未知,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,先生,56,,,中国-福建-宁德,本科,复旦,,,
曾芳勤,116,68,380.0,5350.0,38%,未知,领益智造,Lingyi Itech,广东江门,Guangdong,消费电子精密件,Electronic Components,女士,59,,,中国-广东-深圳,,,,,
丁世家,116,-6,380.0,5350.0,-11%,未知,安踏,Anta,福建厦门,Fujian,体育用品,Sportswear,先生,60,中国-福建-泉州,,中国-福建-厦门,,,,,
罗宇皓,116,21,380.0,5350.0,9%,未知,米哈游,Mihoyo,上海,Shanghai,游戏,Online games,先生,37,,,中国-上海,,,,,
沈彬,116,2,380.0,5350.0,-1%,未知,沙钢,Sha Steel,江苏苏州,Jiangsu,钢铁,Steel,未知,未知,中国-浙江-杭州,江苏苏州,江苏苏州,本科,中国地址大学,,,
李小冬,120,154,375.0,5280.0,92%,未知,冬海集团,Sea,新加坡,Singapore,网络游戏、电商,"Online Games, E-Commerce",先生,46,,,新加坡,,,,,
谢炳,120,10,375.0,5280.0,6%,家族,中生制药,Sino Biopharmaceutical,北京,Beijing,医药,Pharmaceuticals,先生,72,中国-广东-汕头,中国-广东-汕头,中国-香港,,,,,
高德康,122,40,370.0,5210.0,19%,家族,波司登,Bosideng,江苏苏州,Jiangsu,服装,Apparel,先生,72,中国-江苏-苏州,中国-江苏-苏州,中国-江苏-苏州,,,,,
马建荣,122,-20,370.0,5210.0,-17%,家族,申洲针织,Shenzhou,浙江宁波,Zhejiang,纺织、服装,Textiles,先生,59,中国-浙江,,中国-浙江-宁波,,,,,
修涞贵、李艳华,122,8,370.0,5210.0,4%,夫妇,修正药业,Xiuzheng,吉林长春,Jilin,医药,Pharmaceuticals,先生,69,中国-吉林,,中国-吉林-长春,本科,吉大,吉林大学,,
邬建树,125,-51,360.0,5070.0,-36%,未知,拓普,Tuopu,浙江宁波,Zhejiang,汽车零部件制造,Automobile parts,先生,60,中国-浙江-宁波,,中国-浙江-宁波,,,,,
陈发树,126,-4,355.0,5000.0,-7%,未知,新华都,Xinhuadu,福建福州,Fujian,医药、零售、投资,"Retail, Pharmaceuticals, Investments",先生,63,中国-福建-泉州,,中国-福建-福州,,,,,
黄如论、黄涛,126,4,355.0,5000.0,0%,家族,世纪金源,Century Golden Resources,北京,Beijing,房地产,Real Estate,先生,73,中国-福建-福州,中国-河南,中国-北京,,,,,
赖梅松,128,-10,350.0,4930.0,-9%,未知,中通,ZTO,上海青浦,Shanghai,物流,Logistics,先生,54,,,中国-上海,,,,,
汪滔,128,-49,350.0,4930.0,-30%,未知,大疆,DJI,广东深圳,Guangdong,无人机,Drones,先生,44,中国-浙江-杭州,,中国-广东-深圳,本科,香港科技,香港科技大学,,
张和君,128,77,350.0,4930.0,40%,未知,德业股份,Deye Technology,浙江宁波,Zhejiang,电器零部件制造,Electrical machinery ,先生,72,,,中国-浙江-宁波,,,,,
朱艳,131,-3,340.0,4790.0,-7%,家族,贝壳,KE,北京,Beijing,房地产服务,Real Estate Service,先生,53,中国-陕西-渭南,,中国-北京,,,,,
陈志列、王蓉,132,30,335.0,4720.0,8%,夫妇,研祥,Evoc,广东深圳,Guangdong,特种计算机,Intelligent Devices,先生,61,中国-江苏-无锡,中国-江苏-无锡,中国-广东-深圳,硕士,西北工业,西北工大研究生院,,
李想,132,-82,335.0,4720.0,-52%,未知,理想汽车,Li Auto,北京,Beijing,新能源汽车,E-cars,先生,43,,,中国-北京,,,,,
张忠谋,132,142,335.0,4720.0,72%,未知,台积电,TSMC,台湾新竹,Taiwan,半导体,Semiconductors,先生,93,中国-浙江-宁波,中国-浙江-宁波,中国-台湾-新竹,,,,,
刘金成、骆锦红,135,-43,330.0,4650.0,-27%,夫妇,亿纬锂能,EVE Energy,广东惠州,Guangdong,锂电池,Lithium Battery,先生,60,中国-湖北-武汉,,中国-广东-惠州,硕士,武大,,,
