期号,开奖日期,前区,后区,销售额
24146,2024-12-16,"['05', '20', '21', '22', '32']","['03', '04']",296215559.0
24145,2024-12-14,"['01', '06', '09', '22', '24']","['01', '03']",320626163.0
24144,2024-12-11,"['06', '07', '08', '21', '30']","['01', '05']",298735511.0
24143,2024-12-09,"['16', '20', '22', '24', '31']","['04', '05']",299228472.0
24142,2024-12-07,"['08', '21', '24', '33', '34']","['03', '10']",327282822.0
24141,2024-12-04,"['02', '06', '07', '16', '20']","['02', '11']",302351348.0
24140,2024-12-02,"['03', '06', '15', '23', '31']","['01', '12']",313586274.0
24139,2024-11-30,"['05', '12', '20', '23', '24']","['05', '07']",346398503.0
24138,2024-11-27,"['05', '17', '20', '28', '34']","['04', '09']",314640260.0
24137,2024-11-25,"['08', '15', '16', '17', '21']","['02', '05']",314223012.0
24136,2024-11-23,"['01', '17', '20', '29', '34']","['07', '08']",339548742.0
24135,2024-11-20,"['06', '08', '22', '24', '30']","['03', '08']",312278951.0
24134,2024-11-18,"['01', '04', '07', '13', '33']","['05', '06']",315446181.0
24133,2024-11-16,"['08', '10', '14', '22', '29']","['04', '06']",340137954.0
24132,2024-11-13,"['05', '06', '10', '16', '31']","['06', '09']",313339293.0
24131,2024-11-11,"['02', '03', '04', '21', '26']","['02', '03']",314078746.0
24130,2024-11-09,"['11', '21', '25', '31', '32']","['04', '10']",324915160.0
24129,2024-11-06,"['07', '19', '30', '31', '34']","['05', '07']",293942499.0
24128,2024-11-04,"['03', '07', '10', '29', '31']","['01', '03']",295772015.0
24127,2024-11-02,"['02', '03', '10', '16', '28']","['07', '10']",320316369.0
24126,2024-10-30,"['02', '10', '17', '28', '34']","['07', '08']",294045224.0
24125,2024-10-28,"['10', '14', '19', '24', '26']","['01', '10']",287673530.0
